Scenario Information
Number of IoT Nodes,60
Number of UAVs,2
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,260,220.38333333333333,1.0,5956.466304499745,0,11.313247203826904
Individual AoIs for Seed,42
IoT 1,256,t_gen=6
IoT 2,151,t_gen=17
IoT 3,151,t_gen=17
IoT 4,254,t_gen=8
IoT 5,251,t_gen=5
IoT 6,252,t_gen=4
IoT 7,253,t_gen=3
IoT 8,157,t_gen=11
IoT 9,242,t_gen=14
IoT 10,244,t_gen=12
IoT 11,148,t_gen=20
IoT 12,238,t_gen=18
IoT 13,161,t_gen=7
IoT 14,249,t_gen=7
IoT 15,242,t_gen=14
IoT 16,245,t_gen=11
IoT 17,236,t_gen=20
IoT 18,151,t_gen=17
IoT 19,244,t_gen=12
IoT 20,239,t_gen=17
IoT 21,167,t_gen=1
IoT 22,158,t_gen=10
IoT 23,260,t_gen=18
IoT 24,250,t_gen=20
IoT 25,242,t_gen=20
IoT 26,255,t_gen=7
IoT 27,238,t_gen=18
IoT 28,251,t_gen=11
IoT 29,240,t_gen=16
IoT 30,253,t_gen=3
IoT 31,155,t_gen=13
IoT 32,243,t_gen=19
IoT 33,239,t_gen=17
IoT 34,253,t_gen=3
IoT 35,248,t_gen=8
IoT 36,247,t_gen=9
IoT 37,254,t_gen=8
IoT 38,240,t_gen=16
IoT 39,247,t_gen=9
IoT 40,250,t_gen=6
IoT 41,151,t_gen=17
IoT 42,256,t_gen=0
IoT 43,253,t_gen=3
IoT 44,247,t_gen=9
IoT 45,150,t_gen=18
IoT 46,241,t_gen=15
IoT 47,239,t_gen=17
IoT 48,241,t_gen=15
IoT 49,240,t_gen=16
IoT 50,250,t_gen=6
IoT 51,250,t_gen=6
IoT 52,236,t_gen=20
IoT 53,242,t_gen=14
IoT 54,158,t_gen=10
IoT 55,150,t_gen=18
IoT 56,148,t_gen=20
IoT 57,167,t_gen=1
IoT 58,249,t_gen=7
IoT 59,151,t_gen=17
IoT 60,150,t_gen=18

50,256,199.36666666666667,1.0,5599.459095417134,0,10.072996139526367
Individual AoIs for Seed,50
IoT 1,85,t_gen=4
IoT 2,239,t_gen=11
IoT 3,240,t_gen=10
IoT 4,238,t_gen=13
IoT 5,249,t_gen=2
IoT 6,231,t_gen=20
IoT 7,240,t_gen=10
IoT 8,248,t_gen=3
IoT 9,251,t_gen=18
IoT 10,83,t_gen=6
IoT 11,70,t_gen=19
IoT 12,248,t_gen=3
IoT 13,234,t_gen=17
IoT 14,256,t_gen=17
IoT 15,71,t_gen=18
IoT 16,78,t_gen=11
IoT 17,78,t_gen=11
IoT 18,237,t_gen=13
IoT 19,230,t_gen=20
IoT 20,244,t_gen=7
IoT 21,246,t_gen=4
IoT 22,241,t_gen=10
IoT 23,248,t_gen=2
IoT 24,243,t_gen=8
IoT 25,94,t_gen=13
IoT 26,87,t_gen=2
IoT 27,250,t_gen=0
IoT 28,232,t_gen=18
