Scenario Information
Number of IoT Nodes,60
Number of UAVs,3
Number of Ground BS,4

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.46534999999999993,160,92.01666666666667,1.0,5010.279498238497,0,686.2346608638763
Individual AoIs for Seed,42
IoT 1,71,t_gen=6
IoT 2,121,t_gen=17
IoT 3,121,t_gen=17
IoT 4,130,t_gen=8
IoT 5,40,t_gen=5
IoT 6,121,t_gen=4
IoT 7,135,t_gen=3
IoT 8,24,t_gen=11
IoT 9,82,t_gen=14
IoT 10,84,t_gen=12
IoT 11,15,t_gen=20
IoT 12,78,t_gen=18
IoT 13,70,t_gen=7
IoT 14,153,t_gen=7
IoT 15,146,t_gen=14
IoT 16,133,t_gen=11
IoT 17,76,t_gen=20
IoT 18,121,t_gen=17
IoT 19,21,t_gen=12
IoT 20,79,t_gen=17
IoT 21,34,t_gen=1
IoT 22,67,t_gen=10
IoT 23,59,t_gen=18
IoT 24,55,t_gen=20
IoT 25,76,t_gen=20
IoT 26,70,t_gen=7
IoT 27,142,t_gen=18
IoT 28,85,t_gen=11
IoT 29,80,t_gen=16
IoT 30,93,t_gen=3
IoT 31,22,t_gen=13
IoT 32,106,t_gen=19
IoT 33,143,t_gen=17
IoT 34,52,t_gen=3
IoT 35,93,t_gen=8
IoT 36,151,t_gen=9
IoT 37,130,t_gen=8
IoT 38,144,t_gen=16
IoT 39,151,t_gen=9
IoT 40,154,t_gen=6
IoT 41,121,t_gen=17
IoT 42,160,t_gen=0
IoT 43,93,t_gen=3
IoT 44,151,t_gen=9
IoT 45,21,t_gen=18
IoT 46,6,t_gen=15
IoT 47,143,t_gen=17
IoT 48,14,t_gen=15
IoT 49,48,t_gen=16
IoT 50,154,t_gen=6
IoT 51,154,t_gen=6
IoT 52,158,t_gen=20
IoT 53,82,t_gen=14
IoT 54,25,t_gen=10
IoT 55,154,t_gen=18
IoT 56,57,t_gen=20
IoT 57,34,t_gen=1
IoT 58,19,t_gen=7
IoT 59,121,t_gen=17
IoT 60,78,t_gen=18

50,0.42835,145,90.01666666666667,1.0,5148.552023348773,0,976.8559243679047
Individual AoIs for Seed,50
IoT 1,59,t_gen=4
IoT 2,136,t_gen=11
IoT 3,137,t_gen=10
IoT 4,117,t_gen=13
IoT 5,137,t_gen=2
IoT 6,102,t_gen=20
IoT 7,53,t_gen=10
IoT 8,82,t_gen=3
IoT 9,9,t_gen=18
IoT 10,59,t_gen=6
IoT 11,44,t_gen=19
IoT 12,127,t_gen=3
IoT 13,113,t_gen=17
IoT 14,68,t_gen=17
IoT 15,45,t_gen=18
IoT 16,119,t_gen=11
IoT 17,52,t_gen=11
IoT 18,72,t_gen=13
IoT 19,70,t_gen=20
IoT 20,123,t_gen=7
IoT 21,81,t_gen=4
IoT 22,75,t_gen=10
IoT 23,83,t_gen=2
IoT 24,114,t_gen=8
IoT 25,74,t_gen=13
IoT 26,128,t_gen=2
IoT 27,76,t_gen=0
IoT 28,67,t_gen=18
IoT 29,136,t_gen=11
IoT 30,107,t_gen=15
IoT 31,13,t_gen=6
IoT 32,61,t_gen=2
IoT 33,15,t_gen=4
IoT 34,74,t_gen=11
IoT 35,78,t_gen=7
IoT 36,113,t_gen=9
IoT 37,48,t_gen=15
IoT 38,68,t_gen=4
IoT 39,128,t_gen=19
IoT 40,118,t_gen=12
IoT 41,132,t_gen=15
IoT 42,75,t_gen=10
IoT 43,122,t_gen=8
IoT 44,127,t_gen=3
IoT 45,54,t_gen=9
IoT 46,114,t_gen=8
IoT 47,123,t_gen=7
IoT 48,123,t_gen=7
IoT 49,122,t_gen=7
IoT 50,145,t_gen=17
IoT 51,55,t_gen=8
IoT 52,113,t_gen=9
IoT 53,58,t_gen=5
IoT 54,138,t_gen=15
IoT 55,129,t_gen=1
IoT 56,94,t_gen=5
IoT 57,69,t_gen=16
IoT 58,4,t_gen=15
IoT 59,110,t_gen=20
IoT 60,113,t_gen=17

55,0.4779333333333333,163,97.6,1.0,4934.048854111693,0,640.757307767868
Individual AoIs for Seed,55
IoT 1,84,t_gen=15
IoT 2,129,t_gen=12
IoT 3,124,t_gen=17
IoT 4,88,t_gen=8
IoT 5,53,t_gen=0
IoT 6,140,t_gen=1
IoT 7,76,t_gen=20
IoT 8,90,t_gen=6
IoT 9,69,t_gen=0
IoT 10,163,t_gen=9
IoT 11,145,t_gen=7
IoT 12,134,t_gen=7
IoT 13,90,t_gen=6
IoT 14,83,t_gen=13
IoT 15,42,t_gen=3
IoT 16,139,t_gen=2
IoT 17,133,t_gen=8
IoT 18,51,t_gen=2
IoT 19,126,t_gen=15
IoT 20,69,t_gen=17
IoT 21,46,t_gen=12
IoT 22,136,t_gen=5
IoT 23,89,t_gen=7
IoT 24,43,t_gen=11
IoT 25,85,t_gen=11
IoT 26,140,t_gen=1
IoT 27,126,t_gen=15
IoT 28,148,t_gen=16
IoT 29,135,t_gen=6
IoT 30,94,t_gen=5
IoT 31,130,t_gen=11
IoT 32,141,t_gen=0
IoT 33,93,t_gen=3
IoT 34,126,t_gen=15
IoT 35,141,t_gen=3
IoT 36,59,t_gen=6
IoT 37,76,t_gen=20
IoT 38,128,t_gen=15
IoT 39,86,t_gen=13
IoT 40,51,t_gen=2
IoT 41,64,t_gen=12
IoT 42,97,t_gen=2
IoT 43,152,t_gen=13
IoT 44,79,t_gen=17
IoT 45,40,t_gen=8
IoT 46,50,t_gen=1
IoT 47,82,t_gen=17
IoT 48,46,t_gen=7
IoT 49,94,t_gen=2
IoT 50,53,t_gen=0
IoT 51,89,t_gen=7
IoT 52,78,t_gen=18
IoT 53,33,t_gen=17
IoT 54,121,t_gen=20
IoT 55,129,t_gen=12
IoT 56,93,t_gen=3
IoT 57,122,t_gen=19
IoT 58,146,t_gen=9
IoT 59,156,t_gen=20
IoT 60,31,t_gen=14

60,0.4288833333333333,148,83.55,1.0,5174.116695529296,0,521.6070036888123
Individual AoIs for Seed,60
IoT 1,124,t_gen=5
IoT 2,78,t_gen=20
IoT 3,93,t_gen=5
